hypothesis,references
What team did the Panthers beat in the divisional round?,What team did the Carolina Panthers beat in the divisional round of the NFL playoffs?
Who was the defending Super Bowl XLIX champion?,What team did the Broncos beat in the divisional round of the playoffs?
Who did the Broncos defeat in the Super Bowl?,What team did the Broncos defeat in the divisional round of the playoffs?
How many ACL tears did Davis have in his career?,How many ACL tears did Davis have when he went down?
Who is John Elway?,Who is John Elway's current job title?
Who led the Broncos to victory in Super Bowl XXIII?,Who led the Broncos to victory in Super Bowl XXIII at age 38?
Who was the first Super Bowl winner?,Who holds the record for the largest age difference between two Super Bowls?
Who was the #1 pick in the 1998 NFL draft?,What was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes?
What was Kubiak's previous job?,How old was Kubiak when he played for the Broncos?
Who played in the 2015 Super Bowl?,Who replaced Kubiak as the head coach of the Atlanta Braves?
Who played in the 2015 Super Bowl?,What did the NFL re-sodden the field with?
When did the Broncos win the Super Bowl?,What was the last time the Broncos wore white in a Super Bowl?
What color did the Broncos wear in Super Bowl XXI?,What color of jerseys did the Broncos wear in Super Bowl XXII?
Where did the Panthers practice?,Where did the Panthers play at Stanford?
Where did the Panthers practice?,Where did the Panthers use the San Jose State practice facility?
When was the practice of using Roman numerals temporarily suspended?,When did the NFL ban the use of Roman numerals for Super Bowl games?
When was the use of Roman numerals temporarily suspended?,When did the NFL announce that the use of Roman numerals would be temporarily suspended?
What type of logo was painted on fields?,What color was the number of the 50-yard line on fields painted with?
Who is the mayor of San Francisco?,What is the name of the city where the Super Bowl is held?
Who is the mayor of San Francisco?,Who was the mayor of San Francisco when the NFL Experience opened?
What event is held at the Moscone Center?,What event is held at the Moscone Center in Santa Clara?
Where is the Super Bowl held?,What is the name of the Santa Clara Convention Center event that is held on the day before the Super Bowl?
Where was the Super Bowl media day held?,In what city was the Super Bowl held?
When was Super Bowl Opening Night held?,When was Super Bowl Opening Night re-branded as?
How much money has the Super Bowl 50 Host Committee raised?,How much money has the Super Bowl 50 Host Committee raised in sponsorship?
What is the Super Bowl 50 Host Committee's goal?,How much money does the Super Bowl 50 Host Committee pledge to donate to charities?
What company designed the Super Bowl 50 trophy?,How much of the Super Bowl 50 trophy will be made up of the 50?
Who designed the Super Bowl 50 trophy?,Which company designed the Super Bowl 50 trophy?
What resolution was the EyeVision 360?,What type of camera did CBS use to broadcast the Super Bowl?
Who broadcast the Super Bowl?,Who was the lead broadcast team of the Super Bowl?
What channel broadcast the Super Bowl?,Who did ESPN Deportes' Monday Night Football commentary crew work with?
Who provided digital streams of the game?,Who provided digital streams of the game on CBS Sports?
Who provided streaming on smartphones?,What service did CBS provide digital streams of the game?
What special episode of CBS aired after the Super Bowl?,How much did CBS air a special episode of Late Late Show with Stephen Colbert after the Super Bowl?
Who sponsored the Super Bowl?,Who was the sponsor of the Super Bowl in 2006?
"Who sponsored the ""Crash the Super Bowl"" contest?","Who sponsored the ""Crash the Super Bowl"" commercial?"
"Who won the ""Small Business Big Game"" contest?","Who did Death Wish Coffee beat out in the ""Small Business Big Game""?"
What movie did Lionsgate pay for?,What was the name of the movie that was released in the Super Bowl?
Who is Westwood One's play-by-play announcer?,Who will be the play-by-play announcer for Westwood One?
Who is Westwood One's play-by-play announcer?,Who is Westwood One's sideline reporter?
Who does WBT stand for?,Who will play-by-play for the game in North Carolina?
Who does WBT stand for?,Who will play-by-play for the game?
Who was the MVP of Super Bowl XLI?,Who was the MVP of Super Bowl XLI in 2001?
Who was the co-MVP of Super Bowl XII?,Who was the co-MVP of Super Bowl XXIII?
Who performed the national anthem?,Who performed the national anthem for the Academy Awards?
What song did Coldplay perform?,What song did Coldplay perform during the halftime show?
"Who performed the song ""Hymn for the Weekend""?","Who collaborated with Coldplay on the song ""Hymn for the Weekend?"""
Who was the Panthers' starting quarterback?,Who made a 34-yard field goal in the first quarter?
Who was the Panthers' starting quarterback?,Who was the Panthers' starting quarterback at the time of the game?
Who replaced Carey as referee?,Who was the referee at the end of Super Bowl XXIII?
Who returned Carolina's first punt?,Who returned the ball to the Panthers 14-yard line for a score?
Who finished the drive with a 1-yard run?,Who finished the drive with a 1-yard run to cut Carolina's lead to 10-7?
Who sacked Newton?,Who was the Panthers' defensive end when they lost the ball?
Who intercepted Newton's pass?,Who hit the uprights of the Panthers' field goal attempt?
Who intercepted Newton's pass?,Who intercepted Newton's pass on the first play of the game?
Who recovered the ball for Carolina?,Who hit the uprights on the Broncos' first drive?
Who recovered the ball for Carolina?,Who returned the ball to the Panthers 41-yard line for a score?
Who dropped the ball on Carolina's 24-yard line?,Who dropped the ball on Carolina's own 24-yard line with 4:51 left in regulation?
How many times did Carolina get a first down?,How many times did Newton get a first down on Carolina's final drive?
Who was Carolina's top receiver?,Who had the most total yards on the ground?
How many first downs did the Broncos have in Super Bowl 50?,How many first downs did the Carolina Panthers have in Super Bowl 50?
Who had the lowest first downs in Super Bowl 50?,What team had the lowest number of first downs in Super Bowl 50?
Who was the first female recipient of the Nobel Prize?,What was the name of the first female recipient of the Nobel Prize?
Where is the Tomb of the Unknown Soldier located?,Where is the Tomb of the Unknown Soldier in Warsaw?
What is the majority of Warsaw's population?,How much of Warsaw's population is comprised of Polish parents?
Who designed the University Library?,What architect designed the University Library?
What is the name of Warsaw's hospital?,What is one of Warsaw's most important medical facilities?
Where is the Congress Hall?,What is the Congress Hall in Warsaw known for?
What was Warsaw's first literary cabaret?,What was the name of the Polish festival held on the Vistula?
What is the name of the museum in Warsaw?,What is the name of the Warsaw Uprising Museum's collection?
What is Warsaw's oldest museum?,What is the name of Warsaw's oldest art museum?
When did Polonia Warsaw win the national cup?,In what year did Polonia Warsaw win the Polish cup?
Where was Triton born?,In what city did Triton's daughters go on their journey?
Who is the European Union agency for external border security?,Who was the European Union agency for external border security in Warsaw?
What nationality is Warsaw?,In what year did Warsaw become the capital of the Commonwealth?
What was Warszawa's official name?,What was Warszawa's official name in Polish?
When did Warsaw become the capital of the Polish-Lithuanian Commonwealth?,In what year did Warsaw become the capital of Masovia?
When was Warsaw annexed by Prussia?,In what year did Poland become the capital of the Kingdom of Prussia?
When did the Warsaw Ghetto fall?,How long did the Warsaw Ghetto remain under German rule?
How long did the Warsaw Uprising last?,What type of building did the Warsaw Uprising take place?
How long after becoming pope did John Paul II visit Poland?,How many years after becoming pope did John Paul II celebrate Mass?
How tall is Warsaw?,How large is the Vistula River?
What type of plateau is Warsaw?,What type of plateau is the Vistula plateau in?
What type of architecture is St. John's Cathedral?,What type of architecture was St. John's Cathedral constructed in?
When was the Palace on the Water built?,What type of architecture was the Palace on the Water rebuilt in?
Where is the Warsaw University of Technology located?,What is the name of the Warsaw monument dedicated to the Polish resistance?
Where is Bielany Forest?,Where is the Praga Botanic Garden located?
How many people lived in Warsaw in 1939?,How many people lived in Warsaw in the year of 1945?
What does Warsaw have?,What is Warsaw's second level of government called?
What is the term for Warsaw's mayor?,How long has the mayor of Warsaw been president?
When was Warsaw's first stock exchange established?,In what year did Warsaw's first stock exchange open?
Who bought the FSO Car Factory in 2005?,What company purchased the FSO Car Factory in 2005?
How many people live in Warsaw?,What is Warsaw's capital?
Who founded Normandy?,Who was the ruler of Normandy in the 10th and 11th centuries?
Who founded Normandy?,Who founded the Duchy of Normandy in the 9th century?
Who was the Norman leader?,Who was the leader of the Normans in the Mezzogiorno in 1066?
When was Roger II crowned king?,What was the name of Roger II's castle?
Who led the Norman army in 1081?,What was the name of the Norman army that defeated the Byzantines?
Who was King Ethelred II?,Who was the ruler of Dyrrachium at the time of the Norman invasion?
Who killed King Harold II?,Who was King Harold II's half brother?
When did the Normans invade Scotland?,What was the name of the Norman leader who invaded Scotland?
Who was Edward the Confessor's son?,What was the name of the Norman king who was the father of Ralph?
In what year did Tancred die?,What was the name of the person who led the siege of Cyprus?
Who was Richard's rival?,Who was the king of Cyprus at the time of Richard's marriage?
Who transcribed Norman customary law?,Who did Jean de Bethencourt sell the islands to?
Who created the Norman-Arab style?,What type of architecture was the Norman-Saxon style influenced by?
Who commissioned the Bayeux Tapestry?,Who was the abbot of Saint-Evroul in the 11th century?
When did Tesla die?,What language was Tesla born?
Who did Tesla work for?,Who licensed Tesla's AC induction motor and transformer?
Who licensed Tesla's AC induction motor?,What type of power plant did Tesla work on in New York?
When did Tesla die?,What did the General Conference on Weights and Measures name the tesla in honor of Tesla?
Who was Tesla's father?,What was Tesla's father's job?
Who was Tesla's older brother?,Who was Tesla's older brother's name?
Who was Tesla's father?,What language did Tesla's teachers believe his father was?
What school did Tesla attend?,What did Tesla's father send him to school in?
When did Tesla return to Smiljan?,What did Tesla's father want him to do when he recovered from his illness?
What did Tesla explore in Tomingaj?,What did Tesla do when he ran away from the Austro-Hungarian Army?
When did Tesla attend Austrian Polytechnic?,In what year did Tesla graduate from Austrian Polytechnic?
What did Tesla do after leaving Graz?,What did Tesla do at the end of his third year?
When did Tesla die?,What did Milutin Tesla die of in 1879?
When did Tesla die?,When did Tesla leave Gospić for Prague?
What university did Tesla attend?,What was the name of the telegraph company that Tesla worked for?
In what country did Tesla work?,What position did Tesla occupy when he moved to Budapest?
Who hired Tesla?,Who hired Tesla to work at the Edison Machine Works?
What did Edison offer Tesla?,What did Edison say he could do for Tesla if he could do it?
Who created the first patents issued to Tesla?,What was the name of the electric lighting company that Tesla partnered with Vail to create?
What occupation did Tesla have?,What job did Tesla have to work in order to pay for his patents?
When did Brown and Tesla form the Tesla Electric Company?,What was the name of the New York attorney who worked with Tesla in his early days?
When was the induction motor patented?,When was the induction motor patented in 1887?
Who was Thomas Commerford Martin?,Who arranged for Tesla to demonstrate his alternating current system?
Who was George Westinghouse?,Who did Westinghouse negotiate a licensing deal with for the induction motor?
In what city did Westinghouse work?,What type of AC system did Westinghouse work with Tesla on?
What was the name of Westinghouse's AC system?,What was the name of the AC system that Westinghouse developed?
Who won the bid to light the 1893 World's Columbian Exposition?,Who did Westinghouse win the bid to light the 1893 World's Columbian Exposition with alternating current?
Who won the contract to build a two-phase AC system at the Columbian Exposition?,Who won the contract to build a two-phase AC system at the Columbian Exposition in 1893?
What was the price of a Westinghouse AC system?,What was the price of a Westinghouse system to light incandescent bulbs in the fall?
Who patented the Tesla coil?,What was the price of Tesla's AC patent in 1891?
What position did Tesla hold?,In what year did Tesla become a vice president of the IEEE?
When did Tesla discover X-rays?,When did the 5th Avenue laboratory fire happen?
When did Tesla discover X-ray?,When was the discovery of X-ray and X-ray imaging?
What did Tesla believe caused the skin damage?,What did Tesla believe caused the skin damage of X-ray-producing devices?
Who created the electric motor?,What was the name of the device that Tesla used to create the induction motor?
What device was used in the development of radio waves?,"When did Tesla say he could feel a sharp stinging pain where it entered his body, and again at the place where it passed out?"
In what year did Tesla demonstrate his radio-controlled boat?,What was the name of the radio-controlled boat that Tesla showed off?
What was Tesla's initial spark length?,What was the length of Tesla's first spark?
How long was the power station generator?,"How long was the power station generator in Cripple Creek, Colorado?"
When did Tesla believe he was hearing signals from another planet?,When did Tesla believe he may have heard signals from another planet?
When did Tesla leave Colorado?,In what year was Tesla's lab built?
Who wrote to Morgan in 1901?,Who was responsible for the construction of the Wardenclyffe Tower?
What type of mechanical oscillator did Tesla invent?,What type of machine did Tesla use to create a resonance of several buildings?
Who approved Tesla's plan to make dull students bright?,Who approved Tesla's plan to make dull students bright by using electricity?
Who was the inventor of the first radar system?,Who was the inventor of the first radar system in the 1930s?
Who was the winner of the 1915 Nobel Prize?,What was the name of the award given to Edison?
What did the Westinghouse Electric & Manufacturing Company pay Tesla for?,How much did the Westinghouse Electric & Manufacturing Company pay for Tesla's electric car?
When did Tesla die?,When did Tesla leave the Hotel New Yorker to go to the cathedral?
When did Tesla make claims about the death ray?,What type of weapon did Tesla claim could be used against ground troops?
Where is the Tesla Museum located?,Where did Tesla write 'The Art of Projecting Concentrated Non-dispersive Energy through the Natural Media' about charged particle beam weapons?
Who found Tesla's body?,Who found Tesla's body in his room?
Who wrote the eulogy for Tesla?,Who wrote the eulogy for Tesla in 1943?
Who transported Tesla's ashes to Belgrade?,Who transported Tesla's ashes in 1952?
When did Tesla work?,How long did Tesla work on his feet?
What did Tesla believe that all fundamental laws could be reduced to?,What did Tesla believe that all fundamental laws could be reduced to in order to fix his broken wing and leg?
How tall was Tesla?,How large was Tesla when he lived in New York?
What did Tesla believe he possessed?,What did Tesla claim to have possessed during his second year of study?
Who was Tesla's secretary?,Who did Tesla's secretary say he was a good friend of?
What did Tesla say he fired a secretary because of?,What was Tesla's job title at the time of his firing?
When did Tesla begin working on his theory?,In what century did Tesla believe that matter and energy could be transferred to energy?
What was Tesla's profession?,"In what year did Tesla state that humans' ""pity"" had interfered with the natural ""ruthless workings of nature""?"
What was Tesla's religion?,What type of religion did Tesla believe would lead to a Consummation of the War?
Who wrote 'A Machine to End War'?,"Who wrote the article ""A Machine to End War""?"
Who wrote a tribute to Tesla?,Who wrote a tribute to Tesla on the cover of Time magazine?
What does computational complexity theory focus on?,What does computational complexity theory focus on classifying?
What is an example of a computational problem?,What are the two main fields of computer science?
What does complexity theory address?,What type of problem can be solved by asking for a round trip through all of Germany?
What is one of the central objects of study in computational complexity theory?,What is the output of a decision problem called?
What is a function problem?,What is the output of a function problem called?
What is a function of the size of the input in bits?,What is the maximum time taken to solve a problem?
What is a Turing machine?,What is the most common model of a Turing machine?
What are deterministic Turing machines?,What are some types of Turing machines that use random bits called?
What do non-deterministic Turing machines capture?,What do non-deterministic Turing machines have in common with the Turing machines?
What do Blum complexity axioms define?,What does the Blum complexity axioms describe?
What does quicksort stand for?,What is the worst case of using quicksort to classify a list of integers?
What does lower bounds stand for?,What type of notation hides constant factors and smaller terms in lower bounds?
What do complexity classes depend on?,What does bounding the computation time above by some concrete function f(n) often yield?
What type of circuits are used to define complexity classes?,"What type of circuits are used to define the complexity classes of BPP, ZPP and RP?"
What are hierarchy theorems?,What does the time hierarchy theorem tell us about the complexity classes?
What is the most commonly used reduction?,What is a reduction of one problem into another?
What can be reduced to?,What does a problem X is hard for a class of problems C if every problem in C can be reduced to X?
What is another name for the complexity class?,What does the Cobham-Edmonds thesis say about the complexity class P?
What is the problem of determining whether two finite graphs are isomorphic?,What is the problem of determining whether two finite graphs are isomorphic or not?
What is the best known algorithm for determining whether the input has a factor less than k?,What is the best known algorithm for determining the prime factorization of a given variable?
What is the set of all problems that can be solved in logarithmic space called?,What is the class of problems that can be solved in logarithmic space?
What is not the same as P?,What is an example of an intractable problem that can be solved in theory but is not in practice?
What was Turing's definition of?,What was the definition of Turing machines by Alan Turing in 1936?
"Who wrote ""On the Computational Complexity of Algorithms""?","Who wrote the paper ""On the Computational Complexity of Algorithms"" in 1960?"
Who developed the speed-up theorem?,"Who wrote the paper ""Reducibility Among Combinatorial Problems""?"
What do teachers provide instruction in?,What is an example of a teacher's role in education?
Who may teach religious texts?,What type of teaching may be performed by a family member?
Who are teachers responsible for?,What type of teaching may be carried out by teachers outside of the classroom?
What are teacher's colleges?,What are teacher's colleges intended to protect?
What is a teacher's job?,What is an example of a teacher's role in education?
What type of curricula do teachers follow?,What type of curricula can be used to teach?
What do teachers teach in secondary schools?,What is the main focus of a teacher in secondary schools?
"What is another term for ""platoon""?",What is another term for a group of students together in a class?
What is the most common form of school discipline?,How many forms of school discipline does Co-teaching offer?
What country has banned corporal punishment?,Who banned corporal punishment in the US?
How often is corporal punishment administered in schools?,How often does corporal punishment occur in schools in the US?
What do students expect to do during detention?,What do teachers expect their students to do when they're in detention?
What do some teachers and parents advocate?,In what country do some teachers and parents advocate a more assertive and confrontational style of school discipline?
What do students receive disproportionate resources from?,What do Sudbury model democratic schools believe can maintain order more effectively?
What type of teachers tend to transfer their passion to receptive students?,What do students who have a positive disposition towards the course materials tend to transfer their passion to?
What do students feel about teachers?,What is an example of an example of an example of an example of a teacher who has a positive effect on students?
What is a teacher's job?,What do teachers who spend more time with their students perceive as supportive?
What are the three most important aspects of teacher enthusiasm?,What is one of the most important aspects of a teacher's enthusiasm?
How many people were involved in the study?,How many people in England reported sexual abuse by a teacher?
Who said teachers who have sex with pupils over the age of consent should not be placed on the sex offenders register?,Who is concerned about teachers who have sex with pupils over the age of consent being placed on the sex offenders register?
What type of stress can affect teachers?,"When did a 2000 study find that teachers experienced double the rate of anxiety, depression, and stress than average workers?"
What do governments require teachers to pass before they can teach?,What do many countries require teachers to pass before they can teach in a school?
What type of education is required in Australia?,What is required to become a qualified teacher?
What is the basic pay for teachers in Germany?,What is the salary of a teacher in Germany?
In what year was Garda vetting introduced?,What does Section 30 of the Teaching Council Act 2001 allow teachers to be paid?
What do state schools offer to teachers?,What is the maximum amount of pay for teachers in a state school?
How many Scottish universities offer teaching?,How many Scottish universities offer a programme of initial Teacher Education?
When were unpromoted teachers able to earn?,"When were unpromoted teachers able to earn up to £39,942 after 6 years teaching?"
When can Welsh teachers be registered?,When is Welsh medium education available to Welsh students?
What does No Child Left Behind stand for?,How long have teachers been able to earn a license to teach in the United States?
How many teachers are there in the Church of Jesus Christ of Latter-day Saints?,How many members of the Church of Jesus Christ of Latter-day Saints are there?
Who is a spiritual teacher in the LDS Church?,What is the role of a spiritual teacher in the Church of Jesus Christ of Latter Day Saints?
What type of teacher is a Lama?,What is the term for a Lama who has made a conscious decision to be reborn?
What was Luther's religion?,What did Luther believe could be purchased with money in the Bible?
What did Luther's translation of the Bible lead to?,What did von Bora believe the Bible was the only source of divinely revealed knowledge from God?
When was Luther born?,When did Luder become a Catholic?
How did Luther learn about God?,How did Luther decide to study law at Erfurt?
Who was Luther's father?,What did Luther's father think of Luther's decision to leave law school?
When was von Staupitz ordained to the priesthood?,When did von Staupitz receive a degree in theology?
What was Tetzel's profession?,What did Tetzel receive his Doctor of Theology from?
Who was Luther's bishop?,What was Luther's letter to Albert of Mainz?
Who said that indulgences absolved buyers from all punishments?,Who did Luther believe indulgences absolved buyers from all punishments?
Who wrote the story of the posting on the door?,What did Götz Trenkler believe was true of the story of the door?
When were the 95 Theses published?,In what year did Luther publish his 95 Theses?
What did Luther believe the church was corrupt in its ways?,When did Luther become convinced that the church was corrupt in its ways?
Who wrote 'On the Bondage of the Will'?,Who wrote 'On the Bondage of the Will' about Luther's belief in the existence of God?
When did Luther send the 95 Theses to Rome?,What did Cajetan Luther say he didn't believe Luther was a heresy?
What did Karl von Miltitz threaten Luther with?,What did Karl von Miltitz say Luther should do if he refused to recant his writings?
Who ordered Luther to appear before the Diet of Worms?,Who ordered Luther to appear before the Diet of Worms in 1521?
Who presented Luther with copies of his writings?,Who asked Luther if he was the author of Luther's writings?
What did Luther refuse to do?,What did Luther refuse to do after the Edict of Worms was presented?
What was Luther accused of doing?,What was Luther accused of doing to Archbishop Albrecht?
When did Luther say that the Mass is a sacrifice?,What did Luther think of the idea of the Mass as a sacrifice?
What was Luther's main focus?,What did Luther believe the Little Horn of Daniel 7 was?
When did Luther return to Wittenberg?,What did Luther encourage the people of Wittenberg to do during the Lent period?
Who did Luther banish?,What effect did Luther's intervention have on the church?
What did Luther encourage the peasants to do?,What did Luther's followers believe he would do to the upper class?
What did Luther call for the rebels to do?,What did Luther call for the rebels to be put down?
When did Luther defeat the Swabian League?,What did Luther want to do to the rebels?
When did the couple marry?,When was the wedding ceremony for Justus Jonas and Katharina von Bora?
Where did Luther marry?,Where did Luther's marriage set the seal of approval for his marriage to Karlstadt?
What did Luther do in 1525?,What did Luther do in 1525-1529 to try to make a new church?
When did Luther write his German Mass?,What was Luther's German Mass intended to be for?
When did Luther introduce the new order of worship?,When did Luther introduce the new order of worship to Saxony?
Who wrote the Small Catechism?,Who did Luther plan to collect his writings?
What language did Luther use to describe the Trinity?,What language did Luther use in his translation of the Old Testament?
What did Luther hope to make the Bible accessible to?,What language did Luther use to make the Bible accessible to everyday Germans?
"Who wrote ""Ein feste Burg ist unser Gott""?",What type of music did Luther write?
"Who wrote the hymn ""Ein neues Lied wir heben an""?","When did Luther write the hymn ""Ein neues Lied wir heben an""?"
What type of hymn did Luther write?,What type of hymn did Luther use to explain the Lord's Prayer?
"When did Luther write 'Ach Gott, vom Himmel sieh darein'?","When did Luther write ""Aus tiefer Not schrei ich zu dir""?"
Who wrote 'Christ unser Herr zum Jordan kam'?,"What was Luther's hymn ""Christ unser Herr zum Jordan kam"" called?"
What was Bach's second annual hymnal?,What was Bach's second annual hymnal written in?
What did Luther reject?,What did Luther believe a Christian's soul did after it was separated from the body in death?
Who wrote 'The soul does not sleep'?,Who wrote that Luther believed the soul does not sleep after death?
What did Luther believe God was?,What did Luther believe God to be in the sacrament of the Lord's Supper?
What did Luther believe about faith and reason?,What was Luther's belief that faith and reason were not compatible?
What religion did Luther believe Jesus Christ was born in?,What religious group did Luther believe Jesus Christ was born with?
What did Luther believe the Turks were sent to do?,What did Luther believe the Turks were trying to do to Christians?
Who did Luther believe should be taught to Christians?,What did Luther believe the Bible should be taught to?
What is the second use of the law?,What does Luther believe the Ten Commandments teach about the Christian?
What did Luther want to marry?,What did Luther want to do with his wife's life?
What did Luther believe Jews were guilty of?,What did Luther view Jews as a rejected people guilty of?
What did Luther believe the Jews were?,What did Josel of Rosheim believe Luther was responsible for?
Who wrote On the Jews and their Lies?,Who wrote 'On the Jews and their Lies' about Luther?
Who wrote 'On the Jews and Their Lies'?,Who wrote 'On the Jews and their Lies' about Luther?
What was Luther accused of doing to Jews?,Who used Luther's anti-Judaic views to justify their anti-Semitism?
What did Luther suffer from?,What did Luther suffer from during his time in Rome?
Where was Luther's last sermon?,Where did Luther preach in 1546?
When did Luther travel to Mansfeld?,When did Luther travel to Mansfeld to participate in negotiations for a settlement?
When did Luther die?,"What happened to Luther at 8 a.m. on February 18, 1546?"
What was Luther's last statement?,What language did Luther write his last statement in?
When is Luther commemorated?,When is Luther honored in the Church of England's Calendar of Saints?
What is Southern California often called?,What is Southern California's geographic and cultural region?
How many people live in Southern California?,How many people live in the greater Los Angeles area?
What is the largest city in California?,What is the second most populous city in the US?
What is the largest city in California?,What is the name of the Los Angeles area's largest county?
Who is the most famous surfboarder in Southern California?,Who is the most popular surfboarder in southern California?
What is the southern border of California?,What is the southern part of California called?
How many times did California attempt to separate from Northern California?,How many times did Southern California try to separate from Northern California?
Who wrote about southern California in 1900?,Who was the author of the California Statehood Act in 1900?
What is Southern California known for?,What is the name of the California region that has been left undeveloped by the state?
What type of climate does Southern California have?,What is the name of the area in which most of Southern California lives?
What is Southern California's climate range?,What type of mountains do Southern California's mountains have?
How large is the San Jacinto Fault?,How much damage did the magnitude 6.7 earthquake cause in the southern California area?
What is Southern California's reputation for?,What is Southern California's reputation for being?
How many metropolitan areas are in Southern California?,What type of economy is the Greater Los Angeles area?
How many people live in Southern California?,How many people live in Southern California's cities?
What is Southern California's major industry?,What type of business has Southern California had since the 1920s?
Where is Downtown Burbank?,"Along with Downtown Burbank, Downtown Glendale, and Downtown Long Beach, what other area is home to the Downtown San Bernardino area?"
Where is the Irvine Spectrum located?,Where are many of the business districts in Orange County?
What is the busiest airport in Southern California?,What is Los Angeles International Airport's busiest airport?
What is the name of Southern California's largest commercial port?,What is the name of the US's busiest commercial port?
What league does Los Angeles have?,What is the name of the professional football team in California?
In what conference did Chivas USA play?,What is the name of the conference in which the UCLA Bruins play?
What was BSkyB's previous name?,What is the name of BSkyB's parent company?
What was the original name of Sky?,How much did Sky pay for the rights to the Premier League in 2006?
When was Sky+ discontinued?,When did BSkyB discontinue offering Sky+ channels?
Who owns VideoGuard?,Which company owns the VideoGuard pay-TV system?
What was SkyDrive's new name?,Who was BSkyB's chief executive officer at the time of the ruling?
When did Sky UK Limited shut down?,What was the name of Sky UK Limited's satellite service?
What does Sky Q stand for?,What is Sky Q's standard definition broadcast format?
When was Sky Digital launched?,What satellite did Sky Digital use to broadcast its HD service?
When did BSkyB launch its Sky+ HD service?,When did BSkyB announce it would replace its three free-to-air digital terrestrial channels with four subscription channels?
What was the price of the rights?,What is the abbreviation for a free to air channel?
What was the price of BSkyB's EPG?,How much did BSkyB pay for the rights to broadcast the Premier League?
What was the original name of BSkyB's digital service?,What was the original name of BSkyB's HDTV?
When did BSkyB announce it had reached its target?,When was BSkyB's direct-to-home satellite service first available?
What did BSkyB and Virgin Media agree to terminate?,What did BSkyB and Virgin Media agree to terminate all High Court proceedings against each other over?
Where is Victoria ranked in terms of GSP per capita?,Where is Victoria's GDP ranked in terms of GSP?
How many Victorian Legislative Council members are there?,How many electorates did the Victorian Legislative Council elect in 2006?
What is Victoria's largest non-Christian party?,What is the largest non-Christian religious group in Victoria?
